Start of song
Instrument: recorder
Start of notes
Note: beat=39, position=8, pitch=G5, duration=1, instrument=recorder
Note: beat=39, position=9, pitch=F5, duration=1, instrument=recorder
Note: beat=39, position=10, pitch=G5, duration=1, instrument=recorder
Note: beat=39, position=11, pitch=E5, duration=1, instrument=recorder
Note: beat=40, position=0, pitch=F5, duration=1, instrument=recorder
Note: beat=40, position=1, pitch=G5, duration=1, instrument=recorder
Note: beat=40, position=2, pitch=E5, duration=1, instrument=recorder
Note: beat=40, position=3, pitch=F5, duration=1, instrument=recorder
Note: beat=40, position=4, pitch=E5, duration=1, instrument=recorder
Note: beat=40, position=5, pitch=F5, duration=1, instrument=recorder
Note: beat=40, position=6, pitch=G5, duration=2, instrument=recorder
Note: beat=40, position=8, pitch=F5, duration=1, instrument=recorder
Note: beat=40, position=9, pitch=E5, duration=1, instrument=recorder
Note: beat=40, position=10, pitch=D5, duration=2, instrument=recorder
Note: beat=41, position=0, pitch=C5, duration=2, instrument=recorder
Note: beat=41, position=2, pitch=A#4, duration=1, instrument=recorder
Note: beat=41, position=3, pitch=F5, duration=1, instrument=recorder
Note: beat=41, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=41, position=6, pitch=D5, duration=2, instrument=recorder
Note: beat=41, position=8, pitch=C5, duration=1, instrument=recorder
Note: beat=41, position=9, pitch=A#4, duration=1, instrument=recorder
Note: beat=41, position=10, pitch=A4, duration=2, instrument=recorder
Note: beat=42, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=42, position=9, pitch=A4, duration=3, instrument=recorder
Note: beat=43, position=6, pitch=G5, duration=2, instrument=recorder
Note: beat=43, position=8, pitch=F5, duration=1, instrument=recorder
Note: beat=43, position=9, pitch=A#5, duration=1, instrument=recorder
Note: beat=43, position=10, pitch=A5, duration=2, instrument=recorder
Note: beat=44, position=0, pitch=G5, duration=2, instrument=recorder
Note: beat=44, position=2, pitch=F5, duration=1, instrument=recorder
Note: beat=44, position=3, pitch=E5, duration=1, instrument=recorder
Note: beat=44, position=4, pitch=C5, duration=2, instrument=recorder
Note: beat=44, position=6, pitch=D5, duration=2, instrument=recorder
Note: beat=44, position=8, pitch=E5, duration=1, instrument=recorder
Note: beat=44, position=9, pitch=F5, duration=3, instrument=recorder
Note: beat=45, position=0, pitch=F5, duration=2, instrument=recorder
Note: beat=45, position=2, pitch=G5, duration=1, instrument=recorder
Note: beat=45, position=3, pitch=E5, duration=5, instrument=recorder
Note: beat=45, position=8, pitch=F5, duration=1, instrument=recorder
Note: beat=45, position=9, pitch=F5, duration=1, instrument=recorder
Note: beat=45, position=10, pitch=C6, duration=2, instrument=recorder
Note: beat=46, position=0, pitch=A5, duration=2, instrument=recorder
Note: beat=46, position=2, pitch=C6, duration=1, instrument=recorder
Note: beat=46, position=3, pitch=A5, duration=1, instrument=recorder
Note: beat=46, position=4, pitch=C6, duration=2, instrument=recorder
Note: beat=46, position=6, pitch=F6, duration=2, instrument=recorder
Note: beat=46, position=8, pitch=D6, duration=1, instrument=recorder
Note: beat=46, position=8, pitch=E6, duration=1, instrument=recorder
Note: beat=46, position=9, pitch=C6, duration=1, instrument=recorder
Note: beat=46, position=10, pitch=A5, duration=1, instrument=recorder
Note: beat=46, position=10, pitch=A#5, duration=1, instrument=recorder
Note: beat=46, position=11, pitch=G5, duration=1, instrument=recorder
Note: beat=47, position=0, pitch=C6, duration=1, instrument=recorder
Note: beat=47, position=1, pitch=A#5, duration=1, instrument=recorder
Note: beat=47, position=2, pitch=G5, duration=1, instrument=recorder
Note: beat=47, position=2, pitch=A5, duration=1, instrument=recorder
Note: beat=47, position=3, pitch=A5, duration=1, instrument=recorder
Note: beat=47, position=4, pitch=C6, duration=2, instrument=recorder
Note: beat=47, position=6, pitch=A5, duration=2, instrument=recorder
Note: beat=47, position=8, pitch=C6, duration=1, instrument=recorder
Note: beat=47, position=9, pitch=A5, duration=1, instrument=recorder
Note: beat=47, position=10, pitch=C6, duration=2, instrument=recorder
Note: beat=48, position=0, pitch=F6, duration=2, instrument=recorder
Note: beat=48, position=2, pitch=F5, duration=1, instrument=recorder
Note: beat=48, position=3, pitch=A#4, duration=3, instrument=recorder
Note: beat=48, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=48, position=9, pitch=F4, duration=9, instrument=recorder
End of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
Start of song
